,FKZ,Zuwendungsempfänger,Ausführende Stelle,Thema,Leistungsplansystematik,Klartext Leistungsplansystematik,Laufzeit von,Laufzeit bis,Fördersumme in EUR,Förderprofil,Verbundprojekt,Förderart,year,accelerator_related
2035,05SR8PB1/0,Universität Bielefeld,Universität Bielefeld - Fakultät für Physik,"Aufbau einer allgemeinen Apparatur für beliebig winkelauflösende Gasphasenexperimente (Dichroismus, Spinorientierung) mit zirkular polarisierter Strahlung am planar helical undulator bei BESSY II (UE 56)",U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,1998-04-01,2001-03-31,180997,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1998,True
2036,05SL8MG1/1,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen - Fakultät für Physik - Röntgenphysik,Aufbau eines Röntgenmikroskops und eines Rasterröntgenmikroskops am Undulator U41 am BESSY II sowie röntgenmikroskopische Experimente am BESSY I und BESSY II,U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,1998-04-01,2001-03-31,1030253,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1998,True
2038,05SL8UM1/0,Johannes Gutenberg-Universität Mainz,"Johannes Gutenberg-Universität Mainz - FB 08 Physik, Mathematik und Informatik - Institut für Physik",XPS Mikroskopie mit abbildendem Emissionsmikroskop und fokussierender Multilayeroptik im Undulatorstrahl U 125 von BESSY II/CRG-Meßplatz,U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,1998-04-01,2001-03-31,165352,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1998,True
2039,05SL8PB1/1,Universität Bielefeld,Universität Bielefeld - Fakultät für Physik,XPS-Mikroskopie mit abbildendem Emissionsmikroskop und fokussierender Multilayeroptik im Undulatorstrahl U125 von BESSY II/CRG-Meßplatz,U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,1998-04-01,2001-03-31,225173,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1998,True
2048,05SM8VK1/3,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Institut für Kristallographie,Betrieb und Ausbau des Psi-Sechskreis-Diffraktometers an einer ESRF-Undulator-Quelle. Entwicklung neuer Methoden unter Anwendung der phasenempfindlichen Mehrstrahlbeugung,U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,1998-04-01,2001-03-31,260708,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1998,True
2159,05HF1PAA/7,Rheinisch-Westfälische Technische Hochschule Aachen,Rheinisch-Westfälische Technische Hochschule Aachen - Fakultät 1 - Mathematik - Informatik - Naturwissenschaften - Fachgruppe Physik - III. Physikalisches Institut - Lehrstuhl A,Beteiligung am D0-Experiment am Fermilab Proton-Antiproton-Beschleuniger - Datennahme und Analysetechnik,U01019,Struktur und Wechselwirkung fundamentaler Teilchen - Sonstiges,2001-06-01,2004-03-31,108468,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2001,True
2243,05K10CB1,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung,Helmholtz-Zentrum Berlin für Materialien und Energie Gesellschaft mit beschränkter Haftung - Bereich Großgeräte - Abt. Undulatoren (G-A3),Verbundprojekt Kryogener Pr-Fe-B-Undulator: Entwicklung eines kryogenen Pr-Fe-B-Undulators. Teilprojekt 1: Aufbau einer Messkammer sowie eines Antriebsystems zum magnetischen Abgleich.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2013-06-30,274497,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2010 - Kryogener Pr-Fe-B-Undulator,PDIR,2010,True
2247,05K10WM2,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt Kryogener Pr-Fe-B-Undulator: Entwicklung eines kryogenen Pr-Fe-B-Undulators. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2013-06-30,396548,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2010 - Kryogener Pr-Fe-B-Undulator,PDIR,2010,True
2248,05K10VK2,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Labor für Anwendungen von Synchrotronstrahlung (LAS),Verbundprojekt Diagnostik für Elektronenstrahlen mit kleiner Impulslänge und großer Energieverteilungsbreite: Teilprojekt 1.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2014-10-31,680718,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2010 - Diagnostik für Elektronenstrahlen mit kleiner Impulslänge großer Energieverteilungsbreite,PDIR,2010,True
2249,05K10SJ2,Friedrich-Schiller-Universität Jena,Friedrich-Schiller-Universität Jena - Physikalisch-Astronomische Fakultät - Institut für Optik und Quantenelektronik,Verbundprojekt Diagnostik für Elektronenstrahlen mit kleiner Impulslänge und großer Energieverteilungsbreite: Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2014-10-31,403968,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2010 - Diagnostik für Elektronenstrahlen mit kleiner Impulslänge großer Energieverteilungsbreite,PDIR,2010,True
2251,05K10PE1,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik - Zentrum für Synchrotronstrahlung,Verbundprojekt: FSP 301 - FLASH: Beschleuniger-basierte Erzeugung kurzer Pulse. Teilprojekt 1: Weiterentwicklung des Optical Replica Synthesizer für FLASH und für Laser-Plasma-Beschleuniger.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2013-12-31,461229,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,FSP 301 - FLASH: Materie im Licht ultrakurzer und extrem intensiver Röntgenpulse,PDIR,2010,True
2263,05K10RDA,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt: FSP 301 - FLASH: Beschleuniger-basierte Erzeugung kurzer Pulse. Teilprojekt 4: (1) Entwicklung eines Ankunftszeitmonitors für FLASH (2) Wakefeld-Simulationen mit kurzen Elektronenpulsen für zukünftige FELs.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2013-06-30,325288,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,FSP 301 - FLASH: Materie im Licht ultrakurzer und extrem intensiver Röntgenpulse,PDIR,2010,True
2275,05K10PXA,Bergische Universität Wuppertal,Bergische Universität Wuppertal - Fachbereich C - Mathematik und Naturwissenschaften - Fachgruppe Physik,Verbundprojekt: FSP 301 - FLASH: Beschleuniger-basierte Erzeugung kurzer Pulse. Teilprojekt 4: Untersuchung der photoinduzierten Feldemission für Elektronenquellen hoher Brillanz.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2013-06-30,179995,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,FSP 301 - FLASH: Materie im Licht ultrakurzer und extrem intensiver Röntgenpulse,PDIR,2010,True
2282,05K10PEA,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik - Zentrum für Synchrotronstrahlung,Verbundprojekt Teilchen- und Feldsimulationen für die Beschleunigerentwicklung: Teilprojekt 2: Cavityentwicklung für neue beschleunigerbasierte Synchrotronstrahlungsquellen mit hohen Strahlströmen.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2015-04-30,347890,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2010 - Teilchen- und Feldsimulationen für die Beschleunigerentwicklung,PDIR,2010,True
2283,05K10VKC,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Labor für Anwendungen von Synchrotronstrahlung (LAS),Verbundprojekt THz-Strahlung: Teilprojekt 3: Zeitliche Abtastung von THz-Bunch-Feldern mit Femtosekunden-Lasern und Untersuchungen von Strahlinstabilitäten im Low-Alpha-Betrieb.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2013-06-30,465333,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2010 - THz-Strahlung,PDIR,2010,True
2285,05K10VKD,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Institut für Mikro- und Nanoelektronische Systeme (IMS),Verbundprojekt THz-Strahlung: Teilprojekt 4: Ultraschnelle Detektoren für zeitaufgelöste Terahertz-Spektroskopie an einem Elektronenspeicherring.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2013-06-30,394678,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2010 - THz-Strahlung,PDIR,2010,True
2286,05K10KTC,Technische Universität Berlin,Technische Universität Berlin - Fakultät II - Mathematik und Naturwissenschaften - Institut für Optik und Atomare Physik,Verbundprojekt THz-Strahlung: Teilprojekt 1: Korrelationstechniken für zeitaufgelöste Terahertz/Infrarot-Spektroskopie an einem Elektronenspeicherring.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2014-02-28,327128,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2010 - THz-Strahlung,PDIR,2010,True
2287,05K10PEB,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik - Zentrum für Synchrotronstrahlung,Verbundprojekt THz-Strahlung: Teilprojekt 2: Elektronenstrahldiagnose mit laser-induzierter Terahertz-Strahlung und digitalen Regelsystemen.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2013-12-31,454520,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2010 - THz-Strahlung,PDIR,2010,True
2299,05K10GU1,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik","Verbundprojekt: FSP 301 - FLASH: Beschleuniger-basierte Erzeugung kurzer Pulse. Teilprojekt 2: Erzeugung sehr kurzer, kohärenter Strahlungspulse mittels High-Harmonic-Seeding bei FLASH.",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2013-12-31,1147760,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,FSP 301 - FLASH: Materie im Licht ultrakurzer und extrem intensiver Röntgenpulse,PDIR,2010,True
2300,05K10GU2,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt: FSP 301 - FLASH: Beschleuniger-basierte Erzeugung kurzer Pulse. Teilprojekt 3: Ultrakurze Elektronenpakete bei FLASH.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2013-12-31,721492,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,FSP 301 - FLASH: Materie im Licht ultrakurzer und extrem intensiver Röntgenpulse,PDIR,2010,True
2312,05K10HRC,Universität Rostock,Universität Rostock - Fakultät für Informatik und Elektrotechnik - Institut für Allgemeine Elektrotechnik,Verbundprojekt Teilchen- und Feldsimulationen für die Beschleunigerentwicklung: Teilprojekt 1.1: Design von Kopplern für höhere Moden zur Dämpfung und Strahlanalyse in supraleitenden Linearbeschleunigern. Teilprojekt 1.2: Ionen-Akkumulation und Ionen-Effekte in Speicherringen und ERLs.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2010-07-01,2013-06-30,715510,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2010 - Teilchen- und Feldsimulationen für die Beschleunigerentwicklung,PDIR,2010,True
2373,05H10GUE,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik u. Naturwissenschaften - Fachbereich Physik - II. Institut für Theoretische Physik",Verbundprojekt R&D BESCHLEUNIGER (Spin Management): Spin-Management polarisierter Leptonstrahlen an Beschleunigern,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2010-07-01,2012-06-30,281782,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2010 - R&D BESCHLEUNIGER (Spin Management),PDIR,2010,True
2378,05E11CD1,GSI Helmholtzzentrum für Schwerionenforschung GmbH,GSI Helmholtzzentrum für Schwerionenforschung GmbH,SPIRAL2: Deutscher Beitrag am Aufbau einer neuen Beschleuniger- und Experimentieranlage am GANIL in Frankreich (Caen),U05073,Technologische Entwicklung- Beschleunigertechnologie,2011-07-01,2019-12-31,16704651,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2011,True
2383,05P11PKFNE,Universität zu Köln,Universität zu Köln - Mathematisch-Naturwissenschaftliche Fakultät - Fachgruppe Physik - Institut für Kernphysik,FAIR-NUSTAR: Entwicklungen für HISPEC / DESPEC und AGATA am Beschleuniger FAIR der GSI.,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2011-09-01,2012-12-31,611600,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2011,True
2388,05P12RDRBG,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik- und Informationstechnik - Fachgebiet Integrierte Elektronische Systeme,R&D BESCHLEUNIGER: Neuartiger DC-Strahlstrom-Transformator,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-06-30,146036,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2389,05P12RKRBE,Universität Kassel,Universität Kassel - Fachbereich 16 Elektrotechnik / Informatik - Fachgebiet Digitaltechnik,R&D BESCHLEUNIGER: Synchrotron Beam Measurement and Control - Teilprojekt 3: Signalverarbeitungsalgorithmen für programmierbare Logik,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-06-30,113400,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2391,05P12RDRB2,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Physik - Institut für Angewandte Physik,"R&D BESCHLEUNIGER: Entwicklung eines Lasersystems zur effizienten Laserkühlung relativistischer Ionenstrahlen am ESR,HESR und SIS100/300/FAIR",U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-12-31,477328,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2392,05P12RDRBF,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,R&D BESCHLEUNIGER: Longitudinale Strahlstabilisierung in Schwerionensynchrotrons,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-06-30,106200,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2401,05P12PKFNE,Universität zu Köln,Universität zu Köln - Mathematisch-Naturwissenschaftliche Fakultät - Fachgruppe Physik - Institut für Kernphysik,"FAIR-NUSTAR: Studium exotischer Atomkerne am Schwerionensynchrotron SIS der GSI und am Isotopenseparator ISOLDE/CERN. Entwicklungen fuer HISPEC / DESPEC , R3B und PRESPEC für die Beschleunigeranlage von FAIR.",U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-12-31,1957200,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2410,05P12RFRB9,Johann Wolfgang Goethe-Universität Frankfurt am Main,Johann Wolfgang Goethe-Universität Frankfurt am Main - FB 13 Physik - Institut für Angewandte Physik,R&D BESCHLEUNIGER: Entwicklung von Prototypkomponenten für die FAIR - Beschleunigeranlage,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-06-30,770400,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2419,05H12GU6,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt 05H2012 - R&D BESCHLEUNIGER (Plasma-Wakefield-Beschleunigung): Experimente zur Selbstmodulation eines Elektronenstrahls für strahlgetriebene Plasma-Wakefield-Beschleunigung,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2012-07-01,2015-06-30,220860,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2012 - R&D BESCHLEUNIGER (Plasma-Wakefield-Beschleunigung),PDIR,2012,True
2420,05H12RDE,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05H2012 - R&D BESCHLEUNIGER (Plasma-Wakefield-Beschleunigung): Entwicklung eines hochauflösenden Simulationswerkzeugs zur numerischen Modellierung von Plasmawakefeldbeschleunigung,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2012-07-01,2015-06-30,68908,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2012 - R&D BESCHLEUNIGER (Plasma-Wakefield-Beschleunigung),PDIR,2012,True
2422,05H12PF5,Heinrich-Heine-Universität Düsseldorf,Heinrich-Heine-Universität Düsseldorf - Mathematisch-Naturwissenschaftliche Fakultät - Physik - Institut für Theoretische Physik III,Verbundprojekt 05H2012 - R&D BESCHLEUNIGER (Plasma-Wakefield-Beschleunigung): Hybrid-Simulationsmethoden für strahlgetriebene Plasma-Wakefield-Beschleunigung,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2012-07-01,2015-06-30,218382,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2012 - R&D BESCHLEUNIGER (Plasma-Wakefield-Beschleunigung),PDIR,2012,True
2433,05P12VHFA5,Universität Heidelberg,Universität Heidelberg - Fakultät für Physik und Astronomie - Kirchhoff-Institut für Physik,FAIR-APPA: Entwicklung und Integration des Detektorsystems maXs basierend auf metallischen magnetischen Mikrokalorimetern für die hochauflösende Röntgenspektroskopie in Präzisionsexperimenten der SPARC-Kollaboration am Beschleunigerzentrum GSI/FAIR,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-06-30,225240,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2436,05H12RD5,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05H2012 - R&D BESCHLEUNIGER (Supraleitende Hochfrequenztechnik): Numerische Berechnungen elektrischer Felder von Beschleunigerkomponenten,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2012-07-01,2015-06-30,227628,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2012 - R&D BESCHLEUNIGER (Supraleitende Hochfrequenztechnik),PDIR,2012,True
2441,05P12RDRBE,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,R&D BESCHLEUNIGER: Magnetfeld- und Strahldynamiksimulationen für den Super-FRS,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-06-30,106200,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2444,05P12RDRBH,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,R&D BESCHLEUNIGER: Numerische Simulationen zur Extraktion von Ionenstrahlen aus einer EZR Ionenquelle,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-06-30,106200,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2445,05P12RDRBJ,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Material- und Geowissenschaften - FG Materialanalytik,R&D BESCHLEUNIGER: Strahldiagnose u. Strahlenschädendiagnose - TP 1: Szintillator-Materialien für Hochstrom-Diagnose TP 2: Strahlenschädigung von Beschleunigerkomponenten auf Kunststoffbasis u. Gegenmaßnahmen,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-10-31,346800,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2453,05P12RDRBK,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Physik - Institut für Kernphysik,R&D BESCHLEUNIGER: Messung von Stickingkoeffizienten und mittleren Verweildauern von Restgasen an kryogenen Oberflächen für SIS 100 an FAIR,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-06-30,166200,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2455,05P12RDRB7,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Physik - Institut für Kernphysik,R&D BESCHLEUNIGER: Herstellung kryogener Targets für die Untersuchung von Laser-Plasma-Wechselwirkungen sowie die Experimente HIHEX und LAPLAS der FAIR-Startphase,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-06-30,190200,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2456,05P12RDRBL,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Material- und Geowissenschaften,R&D BESCHLEUNIGER: Lebensdauererhöhung von UNILAC-Stripperfolien im Hochstrom-Betrieb,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-09-30,139500,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2470,05P12ODRBF,Technische Universität Dresden,Technische Universität Dresden - Fakultät Mathematik und Naturwissenschaften - Fachrichtung Physik - Institut für Kern- und Teilchenphysik,R&D BESCHLEUNIGER: Kurzpuls-Hochenergie-Verstärker zur schnellen Laserkühlung relativistischer Ionenstrahlen,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2016-03-31,133800,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2479,05P12RDRBM,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,R&D BESCHLEUNIGER: Halo-Kollimation von leichten und schweren Ionen im FAIR-Synchrotron SIS-100,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-06-30,106200,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2494,05H12KHE,Humboldt-Universität zu Berlin,Humboldt-Universität zu Berlin - Mathematisch-Naturwissenschaftliche Fakultät - Institut für Physik,Verbundprojekt 05H2012 - THEORIE: Theoretische Untersuchungen zur Phänomenologie von Topquarks an Hadronenbeschleunigern,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2012-07-01,2015-06-30,89964,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2012 - THEORIE,PDIR,2012,True
2503,05H12GU9,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt 05H2012 - R&D BESCHLEUNIGER (Supraleitende Hochfrequenztechnik): Supraleitende Hochfrequenz-Kavitäten für den ILC und andere zukünftige Beschleuniger,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2012-07-01,2015-06-30,457534,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2012 - R&D BESCHLEUNIGER (Supraleitende Hochfrequenztechnik),PDIR,2012,True
2509,05P12RDRBN,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Physik - Institut für Kernphysik,R&D BESCHLEUNIGER: Entwicklung minimal invasiver Strahldiagnostik für die Facility for Antiproton and Ion Research (FAIR).,U02026,Hadronen- und Kernphysik - Aktivitäten bei FAIR,2012-07-01,2015-09-30,153000,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2511,05H12PX6,Bergische Universität Wuppertal,Bergische Universität Wuppertal - Fachbereich C - Mathematik und Naturwissenschaften - Fachgruppe Physik,Verbundprojekt 05H2012 - R&D BESCHLEUNIGER (Supraleitende Hochfrequenztechnik): Untersuchung und Reduktion der Elektronen-Feldemission von Oberflächen in Beschleunigungsstrukturen,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2012-07-01,2015-06-30,331009,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2012 - R&D BESCHLEUNIGER (Supraleitende Hochfrequenztechnik),PDIR,2012,True
2516,05H12UM6,Johannes Gutenberg-Universität Mainz,"Johannes Gutenberg-Universität Mainz - FB 08 Physik, Mathematik und Informatik - Institut für Kernphysik",Verbundprojekt 05H2012 - R&D BESCHLEUNIGER (Polarisation): Spin-Optimierung polarisierter Leptonstrahlen an Beschleunigern,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2012-07-01,2015-06-30,146303,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2012 - R&D BESCHLEUNIGER (Polarisation),PDIR,2012,True
2517,05H12GU7,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik u. Naturwissenschaften - Fachbereich Physik - II. Institut für Theoretische Physik",Verbundprojekt 05H2012 - R&D BESCHLEUNIGER (Polarisation): Spin-Optimierung polarisierter Leptonstrahlen an Beschleunigern,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2012-07-01,2015-06-30,495259,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05H2012 - R&D BESCHLEUNIGER (Polarisation),PDIR,2012,True
2521,05H12RD7,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,R&D BESCHLEUNIGER: Simulation von Elektronenwolken und Strahlinstabilitäten in SPS und LHC,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2012-07-01,2015-06-30,228180,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2531,05P12PKNUF,Universität zu Köln,Universität zu Köln - Mathematisch-Naturwissenschaftliche Fakultät - Fachgruppe Physik - Institut für Kernphysik,NUPNET: FATIMA- Vieldetektoranordnungen für schnelle Lebensdauermessungen mit neuartigen Szintillatoren und Photosensoren,U02035,Hadronen- und Kernphysik - Aktivitäten an mehreren Beschleunigern,2012-01-01,2014-12-31,106200,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2532,05P12RDNUP,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Physik - Institut für Kernphysik,NUPNET: FATIMA - 'Advanced Fast Timing Arrays with novel scintillators and photosensors - FATIMA',U02035,Hadronen- und Kernphysik - Aktivitäten an mehreren Beschleunigern,2012-01-01,2015-03-31,226800,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
2533,05P12RGNUH,Justus-Liebig-Universität Gießen,"Justus-Liebig-Universität Gießen - FB 07 - Mathematik und Informatik, Physik, Geographie - Physik - II. Physikalisches Institut",NUPNET: GANAS - Entwicklung von positionsempfindlichen Szintillationsdetektoren für FAIR/NUSTAR,U02035,Hadronen- und Kernphysik - Aktivitäten an mehreren Beschleunigern,2012-01-01,2014-12-31,109824,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2012,True
